Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer,Titre FR,Titre EN,Console,Année,ESRB,IDBNF,description
Action,505 Games,0.07,0.2,0.09,0.05,0.41,Engine Software,Terraria,Terraria,PS3,2011,Teen,17001881,"Jeu d'aventure. - Intitulé ""Terraria, collector's edition"" en Europe"
Action,505 Games,0.35,0.27,0.0,0.06,0.67,Engine Software,Terraria,Terraria,XBox360,2011,Teen,17001881,"Jeu d'aventure. - Intitulé ""Terraria, collector's edition"" en Europe"
Action,Activision,0.03,0.04,0.0,0.01,0.08,PlatinumGames,Transformers: Devastation,Transformers: Devastation,PS3,2015,Teen,17042634,Jeu d'action. - Inspiré de la bande-dessinée éditée par IDW Publishing
Action,Activision,0.06,0.01,0.0,0.01,0.08,PlatinumGames,Transformers: Devastation,Transformers: Devastation,XBox360,2015,Teen,17042634,Jeu d'action. - Inspiré de la bande-dessinée éditée par IDW Publishing
Action,Activision,0.12,0.0,0.0,0.26,0.38,Toys for Bob,Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa,PS2,2008,Everyone,16657727,"Jeu d'action ; jeu d'aventure. - Adapté du film d'animation ""Madagascar : escape 2 Africa"" réalisé par Eric Darnell et Tom McGrath. - Parfois intitulé uniquement ""Madagascar 2"""
Action,Activision,0.12,0.08,0.0,0.03,0.23,Toys for Bob,Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa,PS3,2008,Everyone 10+,16657727,"Jeu d'action ; jeu d'aventure. - Adapté du film d'animation ""Madagascar : escape 2 Africa"" réalisé par Eric Darnell et Tom McGrath. - Parfois intitulé uniquement ""Madagascar 2"""
Action,Activision,0.12,0.1,0.0,0.03,0.25,Toys for Bob,Madagascar: Escape 2 Africa,Madagascar: Escape 2 Africa,XBox360,2008,Everyone 10+,16657727,"Jeu d'action ; jeu d'aventure. - Adapté du film d'animation ""Madagascar : escape 2 Africa"" réalisé par Eric Darnell et Tom McGrath. - Parfois intitulé uniquement ""Madagascar 2"""
Action,Activision,0.13,0.0,0.0,0.05,0.18,Amaze Entertainment,X-Men Origins: Wolverine,X-Men Origins: Wolverine,PS2,2009,Teen,16594988,Jeu d'action
Action,Activision,0.14,0.1,0.0,0.02,0.27,Next Level Games,Transformers: Cybertron Adventures,Transformers: Cybertron Adventures,Wii,2010,Teen,16905859,"Jeu d'action. - Intitulé ""Transformers. Aventures sur Cybertron"" en France. - Inspiré de l'univers des jouets et dessins animés ""Transformers"". - Sorti sur Wii simultanément à ""Transformers. War for Cybertron"", sorti, lui, sur plusieurs autres autres plateformes, le jeu présente toutefois de nombreuses différences de gameplay par rapport à celui-ci"
Action,Activision,0.19,0.04,0.0,0.02,0.25,Amaze Entertainment,X-Men Origins: Wolverine,X-Men Origins: Wolverine,Wii,2009,Teen,16594988,Jeu d'action
Action,Activision,0.21,0.21,0.0,0.09,0.51,"Luxoflux, Inc.",Kung Fu Panda,Kung Fu Panda,PS3,2008,Everyone 10+,17033724,"Jeu d'action ; jeu d'aventure. - Intitulé ""Kung fu panda, le jeu"" en France. - Inspiré du film 'Kung fu panda"" réalisé par John Stevenson et Mark Osborne et produit par DreamWorks animation"
Action,Activision,0.23,0.14,0.0,0.08,0.45,High Moon Studios,Deadpool,Deadpool,PS3,2013,Mature 17+,16761434,"Jeu d'action. - Inspiré des personnages de la bande dessinée ""Deadpool"" éditée par Marvel"
Action,Activision,0.24,0.0,0.0,0.41,0.65,Xpec,Kung Fu Panda,Kung Fu Panda,PS2,2008,Everyone 10+,17033724,"Jeu d'action ; jeu d'aventure. - Intitulé ""Kung fu panda, le jeu"" en France. - Inspiré du film 'Kung fu panda"" réalisé par John Stevenson et Mark Osborne et produit par DreamWorks animation"
Action,Activision,0.26,0.11,0.0,0.02,0.39,Treyarch,Ultimate Spider-Man,Ultimate Spider-Man,XBox,2005,Teen,16655611,"Jeu d'action. - Inspiré des personnages de la bande dessinée ""Ultimate Spider-man"" des éditions Marvel"
Action,Activision,0.26,0.13,0.0,0.04,0.43,High Moon Studios,Deadpool,Deadpool,XBox360,2013,Mature 17+,16761434,"Jeu d'action. - Inspiré des personnages de la bande dessinée ""Deadpool"" éditée par Marvel"
Action,Activision,0.36,0.28,0.0,0.1,0.74,Radical Entertainment,Prototype 2,Prototype 2,PS3,2012,Mature 17+,16599174,Jeu d'action
Action,Activision,0.36,0.49,0.0,0.2,1.06,Toys for Bob,Skylanders Giants,Skylanders: Giants,PS3,2012,Everyone 10+,16641858,Jeu d'action ; jeu d'aventure
Action,Activision,0.39,0.39,0.0,0.16,0.94,Toys for Bob,Skylanders: Spyro's Adventure,Skylanders: Spyro's Adventure,PS3,2011,Everyone 10+,16561585,Jeu d'action ; jeu d'aventure
Action,Activision,0.39,0.39,0.0,0.16,0.94,Toys for Bob,Skylanders: Spyro's Adventure,Skylanders: Spyro's Adventure,PS3,2011,Everyone 10+,16561585,Les figurines nécessaires pour jouer sont compatibles avec toutes les plate-formes
Action,Activision,0.48,0.24,0.0,0.07,0.79,Radical Entertainment,Prototype 2,Prototype 2,XBox360,2012,Mature 17+,16599174,Jeu d'action
Action,Activision,0.5,0.32,0.0,0.09,0.91,Xpec,Kung Fu Panda,Kung Fu Panda,Wii,2008,Everyone 10+,17033724,"Jeu d'action ; jeu d'aventure. - Intitulé ""Kung fu panda, le jeu"" en France. - Inspiré du film 'Kung fu panda"" réalisé par John Stevenson et Mark Osborne et produit par DreamWorks animation"
Action,Activision,0.53,0.34,0.0,0.1,0.97,Toys for Bob,Skylanders: Spyro's Adventure,Skylanders: Spyro's Adventure,XBox360,2011,Everyone 10+,16561585,Jeu d'action ; jeu d'aventure
Action,Activision,0.53,0.34,0.0,0.1,0.97,Toys for Bob,Skylanders: Spyro's Adventure,Skylanders: Spyro's Adventure,XBox360,2011,Everyone 10+,16561585,Les figurines nécessaires pour jouer sont compatibles avec toutes les plate-formes
Action,Activision,0.6,0.02,0.0,0.1,0.72,Treyarch,Ultimate Spider-Man,Ultimate Spider-Man,PS2,2005,Teen,16655611,"Jeu d'action. - Inspiré des personnages de la bande dessinée ""Ultimate Spider-man"" des éditions Marvel"
Action,Activision,0.65,0.4,0.0,0.19,1.24,Radical Entertainment,Prototype,Prototype,PS3,2009,Mature 17+,16599187,Jeu d'action
Action,Activision,0.65,0.4,0.0,0.19,1.24,Radical Entertainment,Prototype,Prototype,PS3,2009,Mature 17+,16599187,Sortie en Europe et au Japon le même mois
Action,Activision,0.75,0.44,0.0,0.11,1.3,Toys for Bob,Skylanders Giants,Skylanders: Giants,XBox360,2012,Everyone 10+,16641858,Jeu d'action ; jeu d'aventure
Action,Activision,0.82,0.26,0.0,0.04,1.12,Treyarch,Spider-Man 2,Spider-Man 2,XBox,2004,Teen,16655029,Jeu d'action
Action,Activision,0.84,0.35,0.0,0.12,1.31,Radical Entertainment,Prototype,Prototype,XBox360,2009,Mature 17+,16599187,Jeu d'action
Action,Activision,0.84,0.35,0.0,0.12,1.31,Radical Entertainment,Prototype,Prototype,XBox360,2009,Mature 17+,16599187,Sortie en Europe et au Japon le même mois
Action,Activision,1.35,1.13,0.0,0.3,2.78,Toys for Bob,Skylanders: Spyro's Adventure,Skylanders: Spyro's Adventure,Wii,2011,Everyone 10+,16561585,Jeu d'action ; jeu d'aventure
Action,Activision,1.35,1.13,0.0,0.3,2.78,Toys for Bob,Skylanders: Spyro's Adventure,Skylanders: Spyro's Adventure,Wii,2011,Everyone 10+,16561585,Les figurines nécessaires pour jouer sont compatibles avec toutes les plate-formes
Action,Activision,1.48,0.83,0.0,0.21,2.52,Toys for Bob,Skylanders Giants,Skylanders: Giants,Wii,2012,Everyone 10+,16641858,Jeu d'action ; jeu d'aventure
Action,Activision,1.75,1.2,0.02,0.43,3.41,Treyarch,Spider-Man 2,Spider-Man 2,PS2,2004,Teen,16655029,Jeu d'action
Action,Activision,1.91,0.84,0.0,0.29,3.04,"Luxoflux, Inc.",Kung Fu Panda,Kung Fu Panda,XBox360,2008,Everyone 10+,17033724,"Jeu d'action ; jeu d'aventure. - Intitulé ""Kung fu panda, le jeu"" en France. - Inspiré du film 'Kung fu panda"" réalisé par John Stevenson et Mark Osborne et produit par DreamWorks animation"
Action,Bethesda Softworks,0.25,0.16,0.01,0.04,0.46,Tango Gameworks,The Evil Within,The Evil Within,XBox360,2014,Mature 17+,16940094,"Jeu d'action. - Intitulé ""Psycho break"" au Japon"
Action,Bethesda Softworks,0.26,0.34,0.13,0.12,0.84,Tango Gameworks,The Evil Within,The Evil Within,PS3,2014,Mature 17+,16940094,"Jeu d'action. - Intitulé ""Psycho break"" au Japon"
Action,Bethesda Softworks,0.72,0.52,0.04,0.25,1.53,Arkane Studios,Dishonored,Dishonored,PS3,2012,Mature 17+,16770803,"A pour extensions : ""Dunwall city trials"", ""Brigmore witches"", ""The knife of Dunwall"" et ""Void Walker's arsenal"""
Action,Bethesda Softworks,0.72,0.52,0.04,0.25,1.53,Arkane Studios,Dishonored,Dishonored,PS3,2012,Mature 17+,16770803,Jeu d'action ; jeu de rôle
Action,Bethesda Softworks,1.06,0.5,0.01,0.14,1.71,Arkane Studios,Dishonored,Dishonored,XBox360,2012,Mature 17+,16770803,"A pour extensions : ""Dunwall city trials"", ""Brigmore witches"", ""The knife of Dunwall"" et ""Void Walker's arsenal"""
Action,Bethesda Softworks,1.06,0.5,0.01,0.14,1.71,Arkane Studios,Dishonored,Dishonored,XBox360,2012,Mature 17+,16770803,Jeu d'action ; jeu de rôle
Action,Capcom,0.04,0.03,0.0,0.01,0.09,Grasshopper Manufacture,Killer7,Killer7,PS2,2005,Mature 17+,17002925,Jeu d'action
Action,Capcom,0.04,0.03,0.0,0.01,0.09,Grasshopper Manufacture,Killer7,Killer7,PS2,2005,Mature 17+,17002925,"Sortie en Amérique du Nord et en Europe, juillet 2005"
Action,Capcom,0.08,0.03,0.03,0.0,0.14,Capcom,Dino Crisis 3,Dino Crisis 3,XBox,2003,Mature 17+,16578520,Jeu d'action ; jeu d'aventure
Action,Capcom,0.1,0.06,0.0,0.02,0.18,DONTNOD Entertainment,Remember Me,Remember Me,XBox360,2013,Mature 17+,16999856,Jeu d'action ; jeu d'aventure
Action,Capcom,0.1,0.08,0.0,0.03,0.21,Clover Studio,Viewtiful Joe 2,Viewtiful Joe 2,PS2,2004,Teen,17101570,"Jeu d'action ; jeu d'aventure. - Intitulé ""Byūtifuru Jō 2. Burakkufirumu no Nazo"" au Japon"
Action,Capcom,0.1,0.17,0.0,0.06,0.32,DONTNOD Entertainment,Remember Me,Remember Me,PS3,2013,Mature 17+,16999856,Jeu d'action ; jeu d'aventure
Action,Capcom,0.14,0.11,0.0,0.04,0.28,Clover Studio,Viewtiful Joe,Viewtiful Joe,PS2,2003,Teen,17085584,Jeu d'action
