nameLabel,seriesLabel,plateformLabel,pub_year,publisherLabel,developerLabel,website,esrbLabel,pegiLabel,bnf,musicbrainz
Angry Birds Star Wars,Angry Birds,Wii,2012,LucasArts,Rovio Entertainment,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Angry Birds Star Wars,Angry Birds,PlayStation 3,2012,LucasArts,Rovio Entertainment,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Angry Birds Star Wars,Angry Birds,Xbox 360,2012,LucasArts,Rovio Entertainment,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Star Wars: Battlefront,Star Wars: Battlefront,PlayStation 2,2004,LucasArts,Pandemic Studios,http://www.lucasarts.com/games/swbattlefront/,,,,
Star Wars: Battlefront,Star Wars: Battlefront,Xbox,2004,LucasArts,Pandemic Studios,http://www.lucasarts.com/games/swbattlefront/,,,,
Star Wars: Battlefront,Star Wars: Battlefront,PlayStation 2,2005,LucasArts,Pandemic Studios,http://www.lucasarts.com/games/swbattlefront/,,,,
Star Wars: Battlefront,Star Wars: Battlefront,Xbox,2005,LucasArts,Pandemic Studios,http://www.lucasarts.com/games/swbattlefront/,,,,
Star Wars: Battlefront 2,Star Wars: Battlefront,PlayStation 2,2005,LucasArts,Pandemic Studios,http://www.lucasarts.com/games/swbattlefrontii/indexFlash.html#,Teen,PEGI 12,,
Star Wars: Battlefront 2,Star Wars: Battlefront,Xbox,2005,LucasArts,Pandemic Studios,http://www.lucasarts.com/games/swbattlefrontii/indexFlash.html#,Teen,PEGI 12,,
Star Wars: Battlefront 2,Star Wars: Battlefront,PlayStation 2,2005,LucasArts,Savage entertainment,http://www.lucasarts.com/games/swbattlefrontii/indexFlash.html#,Teen,PEGI 12,,
Star Wars: Battlefront 2,Star Wars: Battlefront,Xbox,2005,LucasArts,Savage entertainment,http://www.lucasarts.com/games/swbattlefrontii/indexFlash.html#,Teen,PEGI 12,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2007,Activision,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2007,Activision,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Xbox 360,2007,Activision,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2007,LucasArts,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2007,LucasArts,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Xbox 360,2007,LucasArts,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2007,Feral Interactive,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2007,Feral Interactive,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Xbox 360,2007,Feral Interactive,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2009,Activision,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2009,Activision,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Xbox 360,2009,Activision,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2009,LucasArts,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2009,LucasArts,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Xbox 360,2009,LucasArts,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2009,Feral Interactive,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2009,Feral Interactive,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Xbox 360,2009,Feral Interactive,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2007,Activision,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2007,Activision,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Xbox 360,2007,Activision,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2007,LucasArts,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2007,LucasArts,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Xbox 360,2007,LucasArts,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2007,Feral Interactive,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2007,Feral Interactive,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Xbox 360,2007,Feral Interactive,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2009,Activision,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2009,Activision,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Xbox 360,2009,Activision,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2009,LucasArts,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2009,LucasArts,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Xbox 360,2009,LucasArts,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2009,Feral Interactive,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2009,Feral Interactive,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Xbox 360,2009,Feral Interactive,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : Le Jeu vidéo,Lego Star Wars,PlayStation 2,2005,Eidos Interactive,Traveller's Tales,,Everyone,PEGI 3,,
Lego Star Wars : Le Jeu vidéo,Lego Star Wars,Xbox,2005,Eidos Interactive,Traveller's Tales,,Everyone,PEGI 3,,
Star Wars: Bounty Hunter,,PlayStation 2,2002,LucasArts,LucasArts,,,,,
Star Wars: Starfighter,,PlayStation 2,2001,LucasArts,LucasArts,,Teen,,,
Star Wars: Starfighter,,Xbox,2001,LucasArts,LucasArts,,Teen,,,
Star Wars: Super Bombad Racing,,PlayStation 2,2001,LucasArts,,,,,,
Lego Star Wars 3: The Clone Wars,Lego Star Wars,Wii,2011,LucasArts,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsiii/,Everyone 10+,PEGI 7,,
Lego Star Wars 3: The Clone Wars,Lego Star Wars,PlayStation 3,2011,LucasArts,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsiii/,Everyone 10+,PEGI 7,,
Lego Star Wars 3: The Clone Wars,Lego Star Wars,Xbox 360,2011,LucasArts,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsiii/,Everyone 10+,PEGI 7,,
Star Wars: Jedi Starfighter,,PlayStation 2,2002,LucasArts,LucasArts,,,,,
Star Wars: Jedi Starfighter,,PlayStation 3,2002,LucasArts,LucasArts,,,,,
Star Wars: Jedi Starfighter,,Xbox,2002,LucasArts,LucasArts,,,,,
Star Wars: The Clone Wars,,PlayStation 2,2002,LucasArts,Pandemic Studios,,,,,
Star Wars: The Clone Wars,,Xbox,2002,LucasArts,Pandemic Studios,,,,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,PlayStation 2,2006,LucasArts,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,Xbox 360,2006,LucasArts,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,Xbox,2006,LucasArts,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,PlayStation 2,2006,Q25303216,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,Xbox 360,2006,Q25303216,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,Xbox,2006,Q25303216,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,PlayStation 2,2006,LucasArts,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,Xbox 360,2006,LucasArts,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,Xbox,2006,LucasArts,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,PlayStation 2,2006,Q25303216,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,Xbox 360,2006,Q25303216,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,Xbox,2006,Q25303216,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,PlayStation 2,2006,LucasArts,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,Xbox 360,2006,LucasArts,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,Xbox,2006,LucasArts,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,PlayStation 2,2006,Q25303216,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
Lego Star Wars 2: La Trilogie originale,Lego Star Wars,Xbox 360,2006,Q25303216,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsii/,Everyone 10+,PEGI 3,,
