id,titre,description,date
17090066,Ekisaitobaiku : jeu vidéo,Jeu de pilotage,1984-11
17093069,Inazuma irebun GO 2. Kurono sutōn raimei : jeu vidéo,"Jeu de simulation sportive ; jeu de rôle. - Jeu intitulé ""Inazuma eleven GO. Chrono stones, thunderflash"" en Europe et ""Inazuma eleven GO. Chrono stones, tonnerre"" en France. - Jeu inspiré de la série animée ""Inazuma eleven go""",2012-12
17035948,My farm 3D : jeu vidéo,Édité par Bigben interactive,2013-07
17040780,Spot the difference : jeu vidéo,Première mise à disposition sur plateformes de téléchargement (Apple Store et PlayStation store),2009-10
17040887,Games festival 2 : jeu vidéo,Jeu d'arcade,2013-09
17044298,Handball 16 : jeu vidéo,Première sortie sur support en Europe le même mois,2015-11
17072534,Doom : jeu vidéo,Édité par Bethesda softworks,2016-05
17083391,Mon ours et moi : jeu vidéo,Édité par Bandai Namco entertainment au Japon et par Nintendo en Europe et en Amérique du Nord,2013-06
17084912,Pokemon āto akademī : jeu vidéo,Édité par Nintendo,2014-06
17097833,Trials fusion : jeu vidéo,Jeu de pilotage,2014-04
17103505,The London heist : jeu vidéo,Édité par Sony computer entertainment Europe,2016-10
17105125,Yoshi's woolly world : jeu vidéo,"Édité par Nintendo. - Intitulé ""Yosshī ūru wārudo"" au Japon",2015-06
17135766,Sous l'océan : jeu vidéo,Édité par Global Game Jam,2015-01
17139539,Double waze : jeu vidéo,Édité par Global game jam,2014
17035928,My exotic farm : jeu vidéo,Jeu de gestion,2008-03
17088522,Just dance. Disney party 2 : jeu vidéo,Édité par Ubisoft entertainment,2015-10
17092352,Reign of fire : jeu vidéo,"Jeu d'action. - Jeu vidéo inspiré du film ""Le règne du feu"" réalisé par Bob Bowman en 2002",2002-11
17040701,Tetraminos : jeu vidéo,Édité par Bigben interactive,2014-04
17044449,"MXGP, the official motocross videogame : jeu vidéo",Édité par Milestone,2014-03
17046315,Sébastien Loeb rally evo : jeu vidéo,Édité par Milestone en Europe et Square Enix en Amérique du Nord,2016-01
17084114,Monster hunter 4 : jeu vidéo,"Jeu d'action ; jeu d'aventure. - Intitulé ""Monster hunter 4G"" au Japon pour la sortie de la version avec du contenu additionnel en octobre 2014, et ""Monster hunter 4 ultimate"" en Amérique du Nord et en Europe en février 2015",2013-09
17085038,Inazuma irebun go. Shain : jeu vidéo,Jeu de rôle ; jeu de simulation sportive,2011-04
17087524,"The scorpion king, rise of the Akkadian : jeu vidéo","Édité par VU Games en Amérique du nord, Vivendi Universal interactive en Europe",2002-09
17096221,Rayman legends : jeu vidéo,Édité par Ubisoft entertainment,2014-02
17123947,Renaissance : jeu vidéo,Jeu d'action,2015-01
17126898,ClayFighter : jeu vidéo,Jeu d'action,1993-11
17126962,Yoshi's story : jeu vidéo,Jeu d'arcade,1997-12
17139116,Don't walk there ! : jeu vidéo,Jeu d'action,2014
17026457,Hello Kitty. Happy happy family : jeu vidéo,Édité par Bigben interactive,2014-09
17703637,Alert intruder : jeu vidéo,Jeu d'action,1992
16926653,Jojo's bizarre adventure : jeu vidéo,Série de jeux vidéo,1993
16941119,Cloudy with a chance of meatballs : jeu vidéo,Édité par Ubisoft puis GameMill publishing,2009
16952459,Neverwinter nights : jeu vidéo,Édité par Infogrames (devenu Atari en 2003),2002
16592049,UEFA Euro : jeu vidéo,Premier épisode édité par Sega puis licence reprise par Electronic arts,1995
16593121,Ys : jeu vidéo,Série de jeux vidéo,1987
16593930,Lego City undercover : jeu vidéo,Édité par Nintendo,2013
