nameLabel,seriesLabel,platformLabel,pub_year,genreLabel,publisherLabel,developerLabel,image,website,esrbLabel,pegiLabel,bnf,musicbrainz
Star Wars: Rogue Squadron,Q15100798,Microsoft Windows,1998,jeu d'action,LucasArts,Factor 5,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Microsoft Windows,1999,jeu d'action,LucasArts,Factor 5,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Nintendo 64,1998,jeu de tir,Nintendo,LucasArts,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Nintendo 64,1999,jeu de tir,Nintendo,LucasArts,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Nintendo 64,1998,jeu de tir,LucasArts,LucasArts,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Nintendo 64,1999,jeu de tir,LucasArts,LucasArts,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Nintendo 64,1998,jeu d'action,Nintendo,LucasArts,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Nintendo 64,1999,jeu d'action,Nintendo,LucasArts,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Nintendo 64,1998,jeu de tir,Nintendo,Factor 5,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Nintendo 64,1999,jeu de tir,Nintendo,Factor 5,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Nintendo 64,1998,jeu d'action,LucasArts,LucasArts,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Nintendo 64,1999,jeu d'action,LucasArts,LucasArts,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Nintendo 64,1998,jeu de tir,LucasArts,Factor 5,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Nintendo 64,1999,jeu de tir,LucasArts,Factor 5,,,Teen,,,
The Neverhood,,PlayStation,1996,jeu d'aventure,Danger Close Games,,,,Teen,,,
The Neverhood,,Microsoft Windows,1996,jeu d'aventure,Danger Close Games,,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Microsoft Windows,1998,jeu de tir,Nintendo,LucasArts,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Microsoft Windows,1999,jeu de tir,Nintendo,LucasArts,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Microsoft Windows,1998,jeu de tir,LucasArts,LucasArts,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Microsoft Windows,1999,jeu de tir,LucasArts,LucasArts,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Nintendo 64,1998,jeu d'action,Nintendo,Factor 5,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Nintendo 64,1999,jeu d'action,Nintendo,Factor 5,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Nintendo 64,1998,jeu d'action,LucasArts,Factor 5,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Nintendo 64,1999,jeu d'action,LucasArts,Factor 5,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Microsoft Windows,1998,jeu d'action,Nintendo,LucasArts,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Microsoft Windows,1999,jeu d'action,Nintendo,LucasArts,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Microsoft Windows,1998,jeu de tir,Nintendo,Factor 5,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Microsoft Windows,1999,jeu de tir,Nintendo,Factor 5,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Microsoft Windows,1998,jeu d'action,LucasArts,LucasArts,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Microsoft Windows,1999,jeu d'action,LucasArts,LucasArts,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Microsoft Windows,1998,jeu de tir,LucasArts,Factor 5,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Microsoft Windows,1999,jeu de tir,LucasArts,Factor 5,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Microsoft Windows,1998,jeu d'action,Nintendo,Factor 5,,,Teen,,,
Star Wars: Rogue Squadron,Q15100798,Microsoft Windows,1999,jeu d'action,Nintendo,Factor 5,,,Teen,,,
Grand Theft Auto,Grand Theft Auto,Game Boy Color,1998,monde ouvert,ASC Games,Rockstar North,,http://www.rockstargames.com/gta/,Mature 17+,,,
Grand Theft Auto,Grand Theft Auto,PlayStation,1998,jeu d'action-aventure,ASC Games,Rockstar North,,http://www.rockstargames.com/gta/,Mature 17+,,,
