Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,94,29,8.5,140,EA Tiburon,E
FIFA Soccer 2004,PS2,N/A,Sports,Electronic Arts,0.59,2.36,0.04,0.51,3.49,84,20,6.4,76,EA Canada,E
wwe Smackdown vs. Raw 2006,PS2,N/A,Fighting,N/A,1.57,1.02,0,0.41,3,,,,,,
NASCAR Thunder 2003,PS2,N/A,Racing,Unknown,0.6,0.46,0,0.16,1.22,84,16,8.7,17,EA Sports,E
Rock Band,PS2,N/A,Misc,Electronic Arts,0.71,0.06,0,0.35,1.11,82,8,6.8,13,Harmonix Music Systems,T
Suikoden III,PS2,N/A,Role-Playing,Unknown,0.29,0.23,0.38,0.08,0.98,86,23,7.7,113,KCET,T
Wheel of Fortune,PS2,N/A,Misc,Unknown,0.47,0.36,0,0.12,0.95,,,tbd,,Atari,E
MLB SlugFest 20-03,PS2,N/A,Sports,Unknown,0.41,0.32,0,0.11,0.83,77,25,8.2,6,Midway,E
Monster Hunter 2,PS2,N/A,Role-Playing,Capcom,0,0,0.63,0,0.63,,,,,,
NASCAR: Dirt to Daytona,PS2,N/A,Racing,Unknown,0.28,0.22,0,0.07,0.58,84,10,8.8,19,Monster Games Inc.,E
NFL GameDay 2003,PS2,N/A,Sports,Unknown,0.2,0.15,0,0.05,0.4,60,23,tbd,,989 Sports,E
Harvest Moon: Save the Homeland,PS2,N/A,Simulation,Unknown,0.19,0.15,0,0.05,0.4,76,14,8.8,72,Victor Interactive Software,E
Final Fantasy XI,PS2,N/A,Role-Playing,Unknown,0.08,0.06,0.15,0.02,0.32,85,49,6.9,66,Square Enix,T
All-Star Baseball 2005,PS2,N/A,Sports,Unknown,0.16,0.12,0,0.04,0.32,72,13,8.6,21,Acclaim,E
Haven: Call of the King,PS2,N/A,Platform,Midway Games,0.14,0.11,0,0.04,0.28,69,26,6.9,15,Traveller's Tales,T
College Hoops 2K6,PS2,N/A,Sports,Unknown,0.12,0.1,0,0.03,0.25,77,14,7.3,6,2K Sports,E
Mega Man X Collection,PS2,N/A,Misc,Unknown,0.12,0.09,0,0.03,0.24,73,23,8.8,14,Capcom,E
Jet X20,PS2,N/A,Racing,Unknown,0.11,0.09,0,0.03,0.23,,,,,,
Tribes: Aerial Assault,PS2,N/A,Shooter,Unknown,0.11,0.09,0,0.03,0.23,73,23,8.8,47,Midway Studios - Austin,T
Yu Yu Hakusho: Dark Tournament,PS2,N/A,Fighting,N/A,0.1,0.08,0,0.03,0.21,56,15,8.5,18,Digital Fiction,T
NBA Starting Five,PS2,N/A,Sports,Unknown,0.09,0.07,0,0.02,0.18,53,10,7.3,7,Konami,E
James Cameron's Dark Angel,PS2,N/A,Action,Universal Interactive,0.08,0.07,0,0.02,0.17,48,17,6.5,19,Radical Entertainment,T
Sword of the Samurai,PS2,N/A,Fighting,Ubisoft,0,0,0.17,0,0.17,,,,,,
eJay Clubworld,PS2,N/A,Misc,Empire Interactive,0.07,0.06,0,0.02,0.15,69,5,8.6,10,UDS,E
Saru! Get You! Million Monkeys,PS2,N/A,Platform,Unknown,0,0,0.12,0,0.12,,,,,,
Star Trek: Conquest,PS2,N/A,Strategy,Bethesda Softworks,0.06,0.04,0,0.01,0.11,54,15,9.1,10,4J Studios,E
Demon Chaos,PS2,N/A,Action,Konami Digital Entertainment,0,0,0.09,0,0.09,,,,,,
McFarlane's Evil Prophecy,PS2,N/A,Action,Konami Digital Entertainment,0.03,0.03,0,0.01,0.07,34,28,3.2,5,Konami,M
Combat Elite: WWII Paratroopers,PS2,N/A,Shooter,Unknown,0.03,0.02,0,0.01,0.06,54,12,tbd,,BattleBorne,T
Mountain Bike Adrenaline,PS2,N/A,Sports,Unknown,0.03,0.02,0,0.01,0.05,,,tbd,,Fresh 3D,E
Sega Rally 2006,PS2,N/A,Racing,Unknown,0,0,0.04,0,0.04,,,,,,
Samurai Spirits: Tenkaichi Kenkakuden,PS2,N/A,Fighting,Unknown,0,0,0.03,0,0.03,,,,,,
Cabela's Alaskan Adventure,PS2,N/A,Sports,Unknown,0.01,0.01,0,0,0.02,,,,,,
Virtua Quest,PS2,N/A,Role-Playing,Unknown,0.01,0.01,0,0,0.02,53,17,7.6,5,Artificial Mind and Movement,T
MLB 11: The Show,PS2,2011,Sports,Sony Computer Entertainment,0.06,0.05,0,0.02,0.13,,,6.2,6,SCEA San Diego Studios,E
WWE All Stars,PS2,2011,Fighting,THQ,0.05,0.04,0,0.01,0.11,,,3.4,5,THQ,T
FIFA 12,PS2,2011,Sports,Electronic Arts,0,0.02,0,0.06,0.09,,,,,,
Pro Evolution Soccer 2012,PS2,2011,Action,Konami Digital Entertainment,0,0,0.06,0,0.06,,,8.2,11,Konami,E
Major League Baseball 2K11,PS2,2011,Sports,Take-Two Interactive,0.02,0.02,0,0.01,0.05,,,tbd,,Visual Concepts,E
Moujuutsukai to Oujisama: Snow Bride,PS2,2011,Adventure,Idea Factory,0,0,0.02,0,0.02,,,,,,
Sangoku Koi Senki: Otome no Heihou!,PS2,2011,Adventure,Prototype,0,0,0.01,0,0.01,,,,,,
FIFA Soccer 11,PS2,2010,Sports,Electronic Arts,0.11,0.29,0,0.36,0.76,,,6.6,7,EA Sports,E
Silent Hill: Shattered Memories,PS2,2010,Action,Konami Digital Entertainment,0.13,0.22,0.01,0.23,0.59,77,8,6.8,82,Climax Group,M
Madden NFL 11,PS2,2010,Sports,Electronic Arts,0.41,0.02,0,0.07,0.5,,,7,4,EA Tiburon,E
pro evolution soccer 2011,PS2,2010,Sports,Konami Digital Entertainment,0.04,0.21,0.05,0.11,0.41,,,6.7,7,Konami,E
MLB 10: The Show,PS2,2010,Sports,Sony Computer Entertainment,0.2,0.16,0,0.05,0.41,,,tbd,,SCEA,E
NBA 2K11,PS2,2010,Action,Take-Two Interactive,0.34,0.01,0,0.06,0.41,,,tbd,,Visual Concepts,E
NCAA Football 11,PS2,2010,Sports,Electronic Arts,0.19,0.15,0,0.05,0.38,,,tbd,,EA Tiburon,E
WWE SmackDown vs. Raw 2011,PS2,2010,Fighting,THQ,0.24,0.07,0,0.07,0.38,,,7.8,12,Yuke's,T
Scooby-Doo! and the Spooky Swamp,PS2,2010,Action,Warner Bros. Interactive Entertainment,0.08,0.11,0,0.08,0.27,,,,,,
Major League Baseball 2K10,PS2,2010,Sports,Take-Two Interactive,0.11,0.09,0,0.03,0.23,,,tbd,,Visual Concepts,E
Ben 10 Ultimate Alien: Cosmic Destruction,PS2,2010,Platform,D3Publisher,0.13,0.06,0,0.04,0.22,,,tbd,,Papaya Studios,E10+
Pro Yaky? Spirits 2010,PS2,2010,Sports,Konami Digital Entertainment,0,0,0.1,0,0.1,,,,,,
Despicable Me: The Game,PS2,2010,Platform,D3Publisher,0.05,0.04,0,0.01,0.1,,,,,,
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PS2,2010,Sports,Konami Digital Entertainment,0,0,0.09,0,0.09,,,,,,
Cabela's North American Adventures,PS2,2010,Sports,Activision,0.04,0.03,0,0.01,0.08,,,tbd,,FUN Labs,T
Rapala Pro Bass Fishing 2010,PS2,2010,Sports,Activision,0.04,0.03,0,0.01,0.08,,,tbd,,FUN Labs,E
Lucian Bee's: Justice Yellow / Evil Violet,PS2,2010,Adventure,5pb,0,0,0.07,0,0.07,,,,,,
Syphon Filter: Logan's Shadow,PS2,2010,Shooter,Sony Computer Entertainment,0.03,0.02,0,0.01,0.06,,,7.9,9,Sony Bend,T
The Lord of the Rings: Aragorn's Quest,PS2,2010,Action,Warner Bros. Interactive Entertainment,0.03,0.02,0,0.01,0.06,,,tbd,,TT Fusion,E10+
Hakuouki: Reimeiroku,PS2,2010,Adventure,Idea Factory,0,0,0.05,0,0.05,,,,,,
J-League Winning Eleven 2010: Club Championship,PS2,2010,Sports,Konami Digital Entertainment,0,0,0.05,0,0.05,,,,,,
Dora's Big Birthday Adventure,PS2,2010,Misc,Take-Two Interactive,0.02,0.01,0,0,0.04,,,tbd,,2K Play,E
Kiniro no Corda 3,PS2,2010,Adventure,Tecmo Koei,0,0,0.03,0,0.03,,,,,,
S.Y.K Renshouden,PS2,2010,Adventure,Idea Factory,0,0,0.03,0,0.03,,,,,,
Clover no Kuni no Alice: Wonderful Wonder World,PS2,2010,Adventure,Prototype,0,0,0.02,0,0.02,,,,,,
Princess Saver! Eternal Love for My Lady,PS2,2010,Adventure,Comfort,0,0,0.02,0,0.02,,,,,,
Strike Witches: Anata to Dekiru Koto - A Little Peaceful Days,PS2,2010,Action,Russel,0,0,0.02,0,0.02,,,,,,
Hana to Otome ni Shukufuku o: Harekaze no Okurimono,PS2,2010,Adventure,Alchemist,0,0,0.02,0,0.02,,,,,,
Summon Night Granthese: Horobi no Ken to Yakusoku no Kishi,PS2,2010,Role-Playing,Namco Bandai Games,0,0,0.02,0,0.02,,,,,,
Suzunone Seven: Rebirth Knot,PS2,2010,Adventure,Alchemist,0,0,0.02,0,0.02,,,,,,
Moujuutsukai to Oujisama,PS2,2010,Adventure,Idea Factory,0,0,0.02,0,0.02,,,,,,
Pachi-Slot Higrashi no Naku Koro ni Matsuri,PS2,2010,Misc,Alchemist,0,0,0.02,0,0.02,,,,,,
Scared Rider Xechs,PS2,2010,Adventure,RED Entertainment,0,0,0.02,0,0.02,,,,,,
Pachitte Chonmage Tatsujin 16: Pachinko Hissatsu Shigotojin III,PS2,2010,Misc,Hackberry,0,0,0.01,0,0.01,,,,,,
Last Escort: Club Katze,PS2,2010,Adventure,D3Publisher,0,0,0.01,0,0.01,,,,,,
King of Fighters 2002: Unlimited Match Tougeki Ver.,PS2,2010,Fighting,SNK Playmore,0,0,0.01,0,0.01,,,,,,
ef - a fairy tale of the two.,PS2,2010,Adventure,Comfort,0,0,0.01,0,0.01,,,,,,
Wand of Fortune: Mirai e no Prologue,PS2,2010,Adventure,Idea Factory,0,0,0.01,0,0.01,,,,,,
Dance Dance Revolution X2,PS2,2009,Simulation,Konami Digital Entertainment,1.09,0.85,0,0.28,2.23,,,tbd,,Konami,E10+
FIFA Soccer 10,PS2,2009,Sports,Electronic Arts,0.23,0.24,0,1.23,1.7,,,8.4,9,EA Sports,E
Pro Evolution Soccer 2010,PS2,2009,Sports,Konami Digital Entertainment,0.1,0.18,0.12,1.16,1.57,,,8.1,15,Konami,E
Guitar Hero 5,PS2,2009,Misc,Activision,0.28,0.3,0,0.54,1.12,71,4,2.6,10,BudCat,T
WWE SmackDown vs. Raw 2010,PS2,2009,Fighting,THQ,0.53,0.01,0,0.54,1.07,,,7.7,31,Yuke's,T
Madden NFL 10,PS2,2009,Sports,Electronic Arts,0.88,0,0,0.1,0.98,,,7.2,6,EA Tiburon,E
Harry Potter and the Half-Blood Prince,PS2,2009,Action,Electronic Arts,0.13,0.07,0,0.44,0.64,,,8.3,13,EA Bright Light,E10+
SingStar Queen,PS2,2009,Misc,Sony Computer Entertainment,0.08,0.12,0,0.44,0.63,73,9,tbd,,SCEE London Studio,T
Secret Agent Clank,PS2,2009,Platform,Sony Computer Entertainment,0.13,0.18,0,0.29,0.6,61,9,6.7,14,Sanzaru Games,E10+
NCAA Football 10,PS2,2009,Sports,Electronic Arts,0.28,0.22,0,0.07,0.58,,,tbd,,EA Tiburon,E
WipEout Pulse,PS2,2009,Racing,Sony Computer Entertainment,0,0.15,0,0.33,0.49,,,,,,
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PS2,2009,Shooter,Activision,0.25,0.01,0,0.22,0.49,,,,,,
