nameLabel,seriesLabel,plateformLabel,pub_year,developerLabel,website,esrbLabel,pegiLabel,bnf,musicbrainz
Angry Birds Star Wars,Angry Birds,PlayStation 3,2012,Rovio Entertainment,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2007,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2007,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2007,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2009,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2009,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2009,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2007,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2007,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2007,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2009,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2009,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,PlayStation 3,2009,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars 3: The Clone Wars,Lego Star Wars,PlayStation 3,2011,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsiii/,Everyone 10+,PEGI 7,,
Star Wars: Jedi Starfighter,,PlayStation 3,2002,LucasArts,,,,,
Grand Theft Auto: San Andreas,Grand Theft Auto,PlayStation 3,2004,Rockstar North,http://www.rockstargames.com/sanandreas/,Mature 17+,PEGI 18,,
Grand Theft Auto: San Andreas,Grand Theft Auto,PlayStation 3,2005,Rockstar North,http://www.rockstargames.com/sanandreas/,Mature 17+,PEGI 18,,
Grand Theft Auto: San Andreas,Grand Theft Auto,PlayStation 3,2008,Rockstar North,http://www.rockstargames.com/sanandreas/,Mature 17+,PEGI 18,,
Grand Theft Auto: San Andreas,Grand Theft Auto,PlayStation 3,2010,Rockstar North,http://www.rockstargames.com/sanandreas/,Mature 17+,PEGI 18,,
Grand Theft Auto: San Andreas,Grand Theft Auto,PlayStation 3,2012,Rockstar North,http://www.rockstargames.com/sanandreas/,Mature 17+,PEGI 18,,
Family Guy: Back to the Multiverse,,PlayStation 3,2012,Heavy Iron Studios,,,,,
Epic Mickey 2 : Le Retour des héros,,PlayStation 3,2012,Heavy Iron Studios,http://www.disney.ru/DisneyCMS/Content/Games/Console/000088_epic_xbox.jsp,Everyone,PEGI 7,,
Epic Mickey 2 : Le Retour des héros,,PlayStation 3,2012,Heavy Iron Studios,http://www.disney.ru/DisneyCMS/Content/Games/Console/000088_epic_xbox.jsp,Everyone,PEGI 7,,
Epic Mickey 2 : Le Retour des héros,,PlayStation 3,2012,Junction Point Studios,http://www.disney.ru/DisneyCMS/Content/Games/Console/000088_epic_xbox.jsp,Everyone,PEGI 7,,
