nameLabel,seriesLabel,plateformLabel,pub_year,developerLabel,website,esrbLabel,pegiLabel,bnf,musicbrainz
Epic Mickey 2 : Le Retour des héros,,Wii,2012,Heavy Iron Studios,http://www.disney.ru/DisneyCMS/Content/Games/Console/000088_epic_xbox.jsp,Everyone,PEGI 7,,
Epic Mickey 2 : Le Retour des héros,,Wii,2012,Heavy Iron Studios,http://www.disney.ru/DisneyCMS/Content/Games/Console/000088_epic_xbox.jsp,Everyone,PEGI 7,,
Epic Mickey 2 : Le Retour des héros,,Wii,2012,Junction Point Studios,http://www.disney.ru/DisneyCMS/Content/Games/Console/000088_epic_xbox.jsp,Everyone,PEGI 7,,
Epic Mickey 2 : Le Retour des héros,,Wii,2012,Junction Point Studios,http://www.disney.ru/DisneyCMS/Content/Games/Console/000088_epic_xbox.jsp,Everyone,PEGI 7,,
Epic Mickey 2 : Le Retour des héros,,Wii,2012,Q4926952,http://www.disney.ru/DisneyCMS/Content/Games/Console/000088_epic_xbox.jsp,Everyone,PEGI 7,,
Epic Mickey 2 : Le Retour des héros,,Wii,2012,Q4926952,http://www.disney.ru/DisneyCMS/Content/Games/Console/000088_epic_xbox.jsp,Everyone,PEGI 7,,
Angry Birds Star Wars,Angry Birds,Wii,2012,Rovio Entertainment,http://www.rovio.com/en/our-work/games/view/50/angry-birds-star-wars,,,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2007,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2007,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2007,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2009,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2009,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2009,Feral Interactive,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2007,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2007,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2007,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2009,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2009,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars : La Saga complète,Lego Star Wars,Wii,2009,Traveller's Tales,http://www.starwars.com/games-apps/lego-star-wars-the-complete-saga,Everyone 10+,PEGI 3,,
Lego Star Wars 3: The Clone Wars,Lego Star Wars,Wii,2011,Traveller's Tales,http://www.lucasarts.com/games/legostarwarsiii/,Everyone 10+,PEGI 7,,
Cars 2,,Wii,2011,Avalanche Software,http://www.disney.com/carsvideogames,,PEGI 3,,
Cars 2,,Wii,2014,Avalanche Software,http://www.disney.com/carsvideogames,,PEGI 3,,
Paper Mario,Paper Mario,Wii,2000,Intelligent Systems,http://www.nintendo.co.jp/n01/n64/software/nus_p_nmqj/index.html,Everyone,PEGI 3,,
Paper Mario,Paper Mario,Wii,2001,Intelligent Systems,http://www.nintendo.co.jp/n01/n64/software/nus_p_nmqj/index.html,Everyone,PEGI 3,,
Paper Mario,Paper Mario,Wii,2001,Intelligent Systems,http://www.nintendo.co.jp/n01/n64/software/nus_p_nmqj/index.html,Everyone,PEGI 3,,
Paper Mario,Paper Mario,Wii,2007,Intelligent Systems,http://www.nintendo.co.jp/n01/n64/software/nus_p_nmqj/index.html,Everyone,PEGI 3,,
