nameLabel,seriesLabel,plateformLabel,pub_year,developerLabel,website,esrbLabel,pegiLabel,bnf,musicbrainz
Dark Project: Deadly Shadows,Thief,Xbox,2004,Ion Storm,http://www.eidos.co.uk/gss/thief_ds/,Mature 17+,PEGI 12,,
Brothers in Arms: Road to Hill 30,Brothers in Arms,Xbox,2005,Gearbox Software,http://www.brothersinarmsgame.com/,Mature 17+,PEGI 16,,
Baldur's Gate: Dark Alliance 2,Baldur's Gate,Xbox,2013,Black Isle Studios,,,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,Xbox,2001,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,Xbox,2001,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,Xbox,2001,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,Xbox,2001,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,Xbox,2002,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,Xbox,2002,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,Xbox,2002,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,Xbox,2002,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,Xbox,2003,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,Xbox,2003,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,Xbox,2003,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,Xbox,2003,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,Xbox,2004,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,Xbox,2004,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,Xbox,2004,Magic Pockets,,Teen,PEGI 12,,
Baldur's Gate: Dark Alliance,Baldur's Gate,Xbox,2004,Magic Pockets,,Teen,PEGI 12,,
