nameLabel,seriesLabel,plateformLabel,pub_year,developerLabel,website,esrbLabel,pegiLabel,bnf,musicbrainz
Call of Duty: Black Ops,Call of Duty,Xbox 360,2010,Treyarch,http://www.callofduty.com/blackops/,Mature 17+,PEGI 16,,
Call of Duty: Black Ops,Call of Duty,Xbox 360,2010,Treyarch,http://www.callofduty.com/blackops/,Mature 17+,PEGI 18,,
Destiny,,Xbox 360,2014,Bungie Studios,http://www.destinythegame.com/,Teen,PEGI 16,,2e88105a-069b-4512-9c93-78c8e362a449
Call of Duty 2,Call of Duty,Xbox 360,2005,Infinity Ward,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2005,Infinity Ward,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2005,Infinity Ward,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2005,Infinity Ward,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2005,Infinity Ward,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2005,Infinity Ward,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2005,Infinity Ward,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2005,Infinity Ward,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2005,Infinity Ward,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Infinity Ward,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Infinity Ward,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Infinity Ward,http://www.callofduty.com/,Teen,PEGI 16,,
Call of Duty 2,Call of Duty,Xbox 360,2006,Infinity Ward,http://www.callofduty.com/,Teen,PEGI 16,,
